,artist_name,artist_id,genre
184,Mister Fitzwell,6v4icShzjTU6s89r4JaNDJ,[]
185,CashBoy Ballin,4XfWDhsY8ZDD4rCIQCNXBA,[]
186,CallMeMeech,5QuSLyshnL0rww7Lm9wRFN,[]
187,Tmang,37U5dsI8Lt1TzRuzPeE3iq,[]
188,Nikea Ronk,3Bvi3D0GiYUWRDRERZaB9S,[]
189,KHALIKO,0vRN7FbloLuAAlh5sxm0W6,[]
190,Kurlin,1ADqiC2r1whLg9hfDSBFrb,[]
191,ilyzayy,3A36SiIX6HOIxEL22eX51N,[]
192,Janara Crow,1Sk7hj4i5mniXRqYa5ndef,[]
193,King Tut (Turn Up Tony),4Fecmi6OaQ4eLCLOK2wT4C,[]
194,Savelle Tha Native,7cEhqQBVoyY1VFDBpvHAmG,[]
195,QuaZar,4zIhva79U6j8MyzMj3wcy4,[]
196,Sensawunda,2AwE6bUBA7dMcUgbD7DHY4,[]
197,Yotuma,6JuiQATVcjYJoFiYggCcny,[]
198,Zen Path,0Hlk8e0eS29sQU4ws7T7Fr,[]
199,Tren Kanha,4ZX2B5Kr6Y2k1jxkY2RQfO,[]
200,Katye Mireles,6D4PvxHlyk0ULdYZzImHOl,[]
201,BOM,6brObfcmyCwpmvnLbztqry,[]
202,Cvertt,6EikAQRp6RkddXkpOLPR9F,[]
203,Holiday Ray,76tjH317k8yihTx3JDnhtK,[]
204,Durrell Hufford,3d9Ovr0WfceAxGZEcsFXku,[]
205,OhVee,1A89KzpM4FzYcono3gxZkQ,[]
206,WORDPLAY4U2HEAR,4daqiAmOcY8aYRwJ2LVjYP,[]
207,Bob Hewitt,2cbnW1EpZ9tEiQsofB9Aac,[]
208,Vomer,4y1NszR3E4QWXD6Vn4T3SG,[]
209,King Malachi,11Y5DMhFmrd2V2jecswLww,[]
210,MT Kbandz,2bdzDiDkvs0r81J8iWEcq4,[]
211,Jitwickk,4TjO8DcKYNYkkfnurZG9rS,[]
212,Co Staccs,5aT3HQGQARbprSH4qCT3ZR,[]
213,Chaotic,2q3ZAAJRuxj7jSnnk2AlrC,[]
214,Cryingrn,1wnDfOEFkWo2YpRZ71dFWP,[]
215,DeadboyViaell,2qUi9wpyz2MWQR0ifNAA2D,[]
216,Nas34,25pIkLO7biqW6UIGdFHCK3,[]
217,Dr S,4jxo0xYy894R3yvRLMII3r,[]
218,Dj Teddy,0YWnEV8YHz7hiHnCpUzMAv,[]
219,KNXLIDGE,20oan8FSefjbJsLQaC3qpc,[]
220,Ethan Setiawan,4PiLSMo2ZPdBLhSNv1Rggn,['mandolin']
221,Chanielle Degeorge,1mTM9PTXnwmSahHWWz93it,[]
222,Gavin Watts,7boYTQPPPh1kzPMrKCmw0h,[]
223,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
224,Nick Nittoli,3xzm09zGUXD96eVSzTVNRj,[]
225,Dem Get Away Boyz,1Y3HdKCnO7XDF3OJHcORyr,[]
226,Dre/Parma,7dqZTKwoJWwOCIMfn4Rolc,[]
227,Tim Atlas,3CiuXDKttPUT0tWGHicFUH,"['indie poptimism', 'indie r&b', 'indie soul', 'vapor soul']"
228,Children Of Bodom,1xUhNgw4eJDZfvumIpcz1B,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal', 'power metal']"
229,Jean-Michel Jarre,5MhLmv7GgyjbxGqiIGasvT,"['laboratorio', 'new romantic', 'synthesizer', 'vintage french electronic']"
230,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,"['canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']"
231,Poder del Tigre y Su Musical,04WTVenGxlhdN4H6yN5ESf,[]
232,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
233,Sombrio Hermanos,2bZ8eooqULL8GErUZbeNcK,[]
234,The Half Guided Hearts,0l17AUBHIVKJoRTDjTKqHP,[]
235,Racked Up Ready,7rKOrIisrygvHWBpopzWO1,"['baton rouge rap', 'deep southern trap']"
236,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
237,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
238,Blackjesus Yoshua,2Dy3fOAUcKb7G3NdUcQuEG,[]
239,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,"['electro latino', 'latin hip hop', 'reggaeton', 'urbano latino']"
240,Slava Chekhov,0vnWh9PBGGXknBETVnLuNp,[]
241,Latif,13mOBl37EYFyZvud2tlq4E,['urban contemporary']
242,Chilly Gonzales,0qudezVgvl4Chd9BgNFB83,"['compositional ambient', 'neo-classical']"
243,Sprung Monkey,3wJSMJy1CMbp0Nr1QX76AF,[]
244,Jay Juarez,2clcbi7v8ijLLNtfW5dP2u,[]
245,Sound Frames,7gCYkRP68cYo84XiOrbcBg,[]
246,Los Broncos De Cosala,6FZcKGExkQtJcGP3co5StZ,"['classic sierreno', 'tololoche']"
247,Blackjesus Yoshua,2Dy3fOAUcKb7G3NdUcQuEG,[]
248,Young Devi D,52xK58ixgoqggxhrvNJ7b7,['kansas city hip hop']
249,Tyson James,1y5jzAFGwRwzBQq7QnqyLE,['maga rap']
250,Vickie Winans,3lRcuKNnP49qqc0AHfTTAR,['gospel']
251,Tall Cro,5z8nzN1PlcF0uGAHK3Jnzw,[]
252,Golpe Justo,20S9HaBNgZqAuOjmWwhPNm,['puerto rican rock']
253,Dara5hunnid,091JlZEuBx1Nzv17ttEW32,[]
254,Zach Coffey,1UWZzzS9LhAKL666uQrvsF,[]
255,Exodus Music and Sound,3MrKXUUaLX9IpA7c7yLoiJ,[]
256,Kampirano,5fmfWfEtjqDeMFLjoWjjBA,[]
257,Reace Sosa,2ml6G2ZOZkFDXCTFyuWtNZ,[]
258,Achilles,0O5o1VGIaNah2u6OcgbZZa,[]
259,Free Range Marmot,2gmegPZIL7KYDXbCN7IY8Y,[]
260,MixedByCrook,1EVXd5olyLoZ2iZAJvEl0s,[]
261,Bobby Hebb,2uNpV18izVIP7DNusoWbT5,['northern soul']
262,LOS ÑANIS DE GUERRERO,0u8IEbTLMUZ2fgOyvB9tj0,['musica mixteca']
263,Alfred Brendel,5vBh0nve44zwwVF5KWtCwA,"['austrian classical piano', 'classical', 'classical performance', 'classical piano']"
264,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
265,4rr Mugz,1d8pL8tfwHIKs3gLlXW81V,[]
266,Magnet,0aPh6hUf7HfSVXtyxQs9AR,['bergen indie']
267,1TakeTheGreat,7EkLbjaNuDQFmB5WAyzSWN,[]
268,Terra Trona,0O9PLt3b6z7CTu96x4LawX,[]
269,FL Dusa,1l39BupEDqsioWGVDXluVG,[]
270,D. Morton and Gifted,1JSFym2oYDUCqvOHwHfnvP,['contemporary gospel']
271,Los Rieleros Del Norte,59xlizZFIFUvLC0I8iV2Jv,"['musica chihuahuense', 'musica mexicana', 'norteno', 'norteno-sax']"
272,Heaven Shall Burn,4sy5qWfwUwpGYBnCKnwfcW,"['german melodeath', 'german metalcore', 'melodic death metal', 'melodic metalcore', 'metalcore']"
273,Ryan Arizona,0XYBM4RlkvJ7bly0G2ygmw,[]
274,Five For Fighting,7FgMLbnZVrEnir95O0YujA,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock']"
275,Unique,6MOzwCxG4EYv6nWo193Et5,[]
276,Dwalk,6eTtN1ArNtkXCPZJ8riM0T,['kansas city hip hop']
277,LoveSeat,517aB3v0Usrh8vzj9U7CNK,[]
278,2nd Bloxk Qua,7addcInTRiPMCRGykK5xse,[]
279,Kashhhkarii,6BARwOxloM6Cy5D3rhQk1N,['south carolina hip hop']
280,TTG Dree,2mjPtUrQtbvqZAMybcO6Ye,[]
281,Eric Benét,1kjO72M26jZkv0aaGxJaov,"['contemporary r&b', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
282,Two Fingers,2AminfyJLRagEeHO6H6bCS,"['turntablism', 'wonky']"
283,Marcus Randolph May,3MN5Bj59age60eRoZXQRqn,[]
284,PNF Mike,1E9ywkeM5wzgc8nTE58PU4,[]
285,Grand-O,50wYfJvOR1Gk0xvpiV6uDm,[]
286,Sterl Gotti,5kkWJuBDaVv2TBuDCcg7EP,['detroit hip hop']
287,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
288,Duston Siler,3AazFtYBd4Aj75mpZ0qILK,[]
289,Cagney edwards,76SQYMiHpG0j6uCTGMhiiO,[]
290,Benga,6lyYDuLxgcxPLH5RjUPH5p,"['classic dubstep', 'uk bass']"
291,Mr. Bankroll,7cQcCjAKJKEsLTn37CBQrL,['westcoast flow']
292,Plap Fieldz,5HO8I3YWRhVvNXQpXAN7FU,[]
293,Diomedes Diaz,66NweiA3nU84k1S3SZdTSG,"['cumbia', 'musica popular colombiana', 'tropical', 'vallenato']"
294,Speakers,4DHcMlW640J5pSP8R3D4sY,[]
295,Slim,33nrND6ODgesoa1Qmr5DbD,[]
296,Doeman,3AtopDTFDEWifbVQOUWz5F,[]
297,Celebration,6ITIhwzOeoG3BjX3Es1q0T,['baltimore indie']
298,Lucius,1WrqUPWlHN5FXCRcQgrkas,"['indie folk', 'indie pop', 'new americana']"
299,C.H.R.O.M.E.,5RdcBmagBnPvO5ekUc9bmZ,[]
300,Estrellas de la Kumbia,2TEs6ck1k6G842mXL1hscc,['cumbia sonidera']
301,Simon Core,0kzZc9RbbOjGkbPYdNeWA2,[]
302,LulMurder,1Ky5RAZoqmppuOkMExoTvt,[]
303,Ryan Arizona,0XYBM4RlkvJ7bly0G2ygmw,[]
304,Caligula's Horse,6Zd7AjXsoLaweP9FHyudVC,"['deep progressive rock', 'djent', 'progressive metal']"
305,Big-E Eli,0lB5XniTrk1dj4uHwJUYAq,['narco rap']
306,A Great Big Pile of Leaves,3bTTtdHi2gxhc8O68LNXXB,"['alternative emo', 'brooklyn indie', 'dreamo', 'emo', 'midwest emo']"
307,Jack Beats,5dUIQXIt7WeBKpETFZyTFW,"['bass house', 'fidget house']"
308,marcfrmdabityy,48gYVGqgAFpmLLJoyT1Gci,['florida drill']
